['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'CSNA3.SA', 'BRFS3.SA', 'VALE3.SA', 'COGN3.SA', 'MRFG3.SA', 'CVCB3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'CSNA3.SA', 'COGN3.SA', 'BRFS3.SA', 'PETR4.SA', 'KLBN11.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'BRFS3.SA', 'VALE3.SA', 'PETR4.SA', 'CSNA3.SA', 'HYPE3.SA', 'FLRY3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'VALE3.SA', 'BRFS3.SA', 'CSNA3.SA', 'HYPE3.SA', 'MRFG3.SA', 'PETR4.SA']
['BRKM5.SA', 'BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'VALE3.SA', 'HYPE3.SA', 'BBDC4.SA', 'LREN3.SA', 'BRFS3.SA']
['BTOW3.SA', 'BRKM5.SA', 'SULA11.SA', 'GGBR4.SA', 'VALE3.SA', 'HYPE3.SA', 'BBDC4.SA', 'SANB11.SA', 'BRFS3.SA']
['BRKM5.SA', 'SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'COGN3.SA', 'HYPE3.SA', 'CVCB3.SA', 'SANB11.SA']
['SULA11.SA', 'BRKM5.SA', 'BTOW3.SA', 'HYPE3.SA', 'VALE3.SA', 'GGBR4.SA', 'BRFS3.SA', 'COGN3.SA', 'BBDC4.SA']
['SULA11.SA', 'BRKM5.SA', 'BTOW3.SA', 'VALE3.SA', 'BBDC4.SA', 'COGN3.SA', 'CVCB3.SA', 'GGBR4.SA', 'SANB11.SA']
['SULA11.SA', 'BTOW3.SA', 'BRKM5.SA', 'COGN3.SA', 'BBDC4.SA', 'SANB11.SA', 'CVCB3.SA', 'HYPE3.SA', 'ITUB4.SA']
['SULA11.SA', 'BTOW3.SA', 'BBDC4.SA', 'COGN3.SA', 'CVCB3.SA', 'GGBR4.SA', 'SANB11.SA', 'ITUB4.SA', 'CYRE3.SA']
['SULA11.SA', 'BTOW3.SA', 'BBDC4.SA', 'ITUB4.SA', 'SANB11.SA', 'GGBR4.SA', 'COGN3.SA', 'GOLL4.SA', 'BBDC3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'BBDC4.SA', 'GOLL4.SA', 'ITUB4.SA', 'COGN3.SA', 'SANB11.SA', 'BBDC3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'COGN3.SA', 'BBDC4.SA', 'VALE3.SA', 'ITUB4.SA', 'GOLL4.SA', 'BBDC3.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'BBDC4.SA', 'GGBR4.SA', 'HYPE3.SA', 'VALE3.SA', 'FLRY3.SA', 'BBDC3.SA']
['SULA11.SA', 'BTOW3.SA', 'SMLS3.SA', 'GGBR4.SA', 'BBDC4.SA', 'COGN3.SA', 'VALE3.SA', 'HYPE3.SA', 'FLRY3.SA']
['SULA11.SA', 'SMLS3.SA', 'BTOW3.SA', 'VALE3.SA', 'GGBR4.SA', 'GOLL4.SA', 'TOTS3.SA', 'BBDC4.SA', 'CYRE3.SA']
['SULA11.SA', 'BTOW3.SA', 'SMLS3.SA', 'GGBR4.SA', 'GOLL4.SA', 'VALE3.SA', 'BBDC4.SA', 'CYRE3.SA', 'TOTS3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'SMLS3.SA', 'GOLL4.SA', 'VALE3.SA', 'CYRE3.SA', 'COGN3.SA', 'ELET3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'SMLS3.SA', 'GGBR4.SA', 'VALE3.SA', 'COGN3.SA', 'CVCB3.SA', 'CYRE3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'GOLL4.SA', 'VALE3.SA', 'CVCB3.SA', 'MULT3.SA', 'PETR4.SA', 'BBDC4.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'VALE3.SA', 'BBDC4.SA', 'UGPA3.SA', 'ABEV3.SA', 'GOLL4.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'GOLL4.SA', 'UGPA3.SA', 'BBDC4.SA', 'COGN3.SA', 'SMLS3.SA']
['BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'CVCB3.SA', 'SULA11.SA', 'UGPA3.SA', 'BBDC4.SA', 'SMLS3.SA', 'GOLL4.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'VALE3.SA', 'CVCB3.SA', 'UGPA3.SA', 'HYPE3.SA', 'BBDC4.SA', 'LAME4.SA']
['BTOW3.SA', 'CVCB3.SA', 'VALE3.SA', 'SULA11.SA', 'GGBR4.SA', 'UGPA3.SA', 'HYPE3.SA', 'BBDC4.SA', 'MRVE3.SA']
['VALE3.SA', 'SULA11.SA', 'CVCB3.SA', 'GGBR4.SA', 'BTOW3.SA', 'HYPE3.SA', 'UGPA3.SA', 'BBDC4.SA', 'PETR4.SA']
['VALE3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'HYPE3.SA', 'BTOW3.SA', 'SANB11.SA', 'BBDC4.SA', 'LREN3.SA']
['SULA11.SA', 'GGBR4.SA', 'VALE3.SA', 'BBDC4.SA', 'SANB11.SA', 'HYPE3.SA', 'ITUB4.SA', 'ABEV3.SA', 'SMLS3.SA']
['SULA11.SA', 'GGBR4.SA', 'VALE3.SA', 'CYRE3.SA', 'COGN3.SA', 'BBDC4.SA', 'ABEV3.SA', 'SANB11.SA', 'HYPE3.SA']
['SULA11.SA', 'GGBR4.SA', 'CYRE3.SA', 'COGN3.SA', 'BBDC4.SA', 'BTOW3.SA', 'VALE3.SA', 'ABEV3.SA', 'ITUB4.SA']
['SULA11.SA', 'BTOW3.SA', 'CYRE3.SA', 'GGBR4.SA', 'GOLL4.SA', 'BBDC4.SA', 'SMLS3.SA', 'COGN3.SA', 'ITUB4.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'CYRE3.SA', 'BBDC4.SA', 'SMLS3.SA', 'HYPE3.SA', 'COGN3.SA', 'RADL3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'GOLL4.SA', 'BBDC4.SA', 'SMLS3.SA', 'CYRE3.SA', 'RADL3.SA', 'VALE3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'CVCB3.SA', 'SMLS3.SA', 'GOLL4.SA', 'VALE3.SA', 'BBDC4.SA', 'RADL3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'CVCB3.SA', 'GOLL4.SA', 'BBDC4.SA', 'SMLS3.SA', 'VALE3.SA', 'CYRE3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'CVCB3.SA', 'VALE3.SA', 'GOLL4.SA', 'MRVE3.SA', 'SMLS3.SA', 'IGTA3.SA']
['SULA11.SA', 'BTOW3.SA', 'CVCB3.SA', 'GGBR4.SA', 'VALE3.SA', 'SMLS3.SA', 'GOLL4.SA', 'LREN3.SA', 'IGTA3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'CVCB3.SA', 'IGTA3.SA', 'SMLS3.SA', 'GOLL4.SA', 'LREN3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'BBDC4.SA', 'CVCB3.SA', 'GOLL4.SA', 'LREN3.SA', 'SANB11.SA']
